username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
Pigeons & Planes,18033816,2021-04-27 13:02:15,"Take a look back at @Eminem's 1997 Wake Up Show freestyle.

In 1997, Eminem flew out to LA for the Rap Olympics, wh... https://t.co/YJ1pYutYZn",434,None,325902,2921,0.0,0.0
The Irrawaddy (Eng),57289662,2021-04-27 10:32:42,"Myanmar Swimmer to Forgo Tokyo Olympics in Protest at Junta Violence
https://t.co/cixmseIASx... https://t.co/QmuCCco0mB",481,None,624175,0,0.0,0.0
Samantha Power,818282957618216960,2021-04-27 23:46:30,"Win Htet Oo, one of Myanmar's top swimmers, calls on IOC not to allow coup govt to send a team to Tokyo @Olympics &amp;... https://t.co/14wvbDBPvJ",437,None,281624,3063,0.65,0.45
Cape Diamond,1464760129,2021-04-27 10:51:40,"""I shall not march in the parade of nations under a flag steeped in my people's blood,"" the Myanmar swimmer Win Hte... https://t.co/Dg9sx6ukYW",836,None,79024,772,0.275,0.31666666666666665
Jack Posobiec,592730371,2021-04-27 15:06:12,China Change >> The Beijing 2022 Winter Olympics Will Be a Glorification of Xi Jinping and the CCP's Global Agenda  https://t.co/xy5CeQ9f6S,199,None,1258222,946,0.0,0.0
Hnin Zaw,384853496,2021-04-27 13:50:16,"Win Htet Oo, 26-year-old Myanmar swimmer to skip the Tokyo Olympic in protest against the coup. 
His statement says... https://t.co/kaMxzKUfmm",387,None,72939,1444,0.8,0.4
Vala Afshar,259725229,2021-04-27 21:43:26,"""What is investment?

@usainbolt won 8 gold medals in 3 Olympics, and he only ran for less than 115 seconds on the... https://t.co/EuRsYSfKBs",117,None,554593,300,-0.08333333333333333,0.5333333333333333
Q. Anthony (FKA Andray Domise),2433526788,2021-04-27 03:30:27,Naomi Osaka isn't representing Haiti at the Tokyo Olympics for a very simple reason: Haiti has no athletic infrastr... https://t.co/plXvUmZ08k,105,None,79634,8293,0.0,0.4642857142857143
sammy guevara,775025786,2021-04-27 17:07:59,"""Friend Olympics"" - Vlog 317

> https://t.co/8DnfeFUaB7 https://t.co/fMx8QK9Pof",165,None,128701,777,0.0,0.0
Olympics,52422878,2021-04-27 14:00:13,"Meanwhile in 1908, and 113 years ago today, we celebrated the Opening Ceremony of the London 1908 Olympics Games!... https://t.co/PemEyHteQ9",44,None,5997029,4979,0.4375,0.75
British Swimming,50668385,2021-04-27 11:31:18,"24 new swimmers added to the team 

The British Olympic Association has today confirmed additional names to the... https://t.co/b33kNXxv5z",57,None,75551,528,0.1787878787878788,0.48484848484848486
BTP Dog Section,4172200767,2021-04-27 16:08:32,Sadly we have lost a star in RPD Bobby aged 12. Bobby served BTP with dedication and distinction during the olympic... https://t.co/MSF5uD9MBu,46,None,16661,812,-0.3,0.7
FIFA Women's World Cup,284944250,2021-04-27 23:07:00," She's Australia's first international player (male or female) to be born in the 21st century
 The youngest ever... https://t.co/q2G0qLRZYp",55,None,879724,1853,0.05,0.12
AFP News Agency,380648579,2021-04-28 12:01:08,#BREAKING Daily virus tests for athletes at Tokyo Olympics: organisers https://t.co/vWhpRdoUZI,39,BREAKING,1998257,613,0.0,0.0
Jules Boykoff,724416918,2021-04-27 14:22:18,"86 days until the #Tokyo2020 Olympics. Host towns across Japan, after spending millions, rethink plans to host Olym... https://t.co/5K5Z7rJLrz",38,Tokyo2020,6942,910,0.0,0.0
Jules Boykoff,724416918,2021-04-26 23:56:55,"""Saving Japan's bid to host the #Tokyo2020 Olympics has become more important than saving lives during the pandemic... https://t.co/V3mavTQ2OI",30,Tokyo2020,6942,910,0.45,0.75
China Commission,196324920,2021-04-26 15:28:32,"As the #PanchenLama turns 32, he remains among the world's longest-held political prisoners, disappeared by the Chi... https://t.co/PC8oqCoA5G",314,PanchenLama,45463,585,0.0,0.1
Aly Wagner,26846850,2021-04-27 01:04:52,K. Mewis has to be going to the Olympics.  https://t.co/nkiVfMBmHi,31,None,19952,830,0.0,0.0
Olympics,52422878,2021-04-26 17:00:12,"On today's #MondayMotivation, we find out what the secret is to doing something meaningful in life, thanks to three... https://t.co/wJxQhWVuGd",46,MondayMotivation,5997029,4979,0.09999999999999999,0.4666666666666666
FIA,432507102,2021-04-26 16:34:46,The FIA is to collaborate with the International Olympic Committee @Olympics by participating in the inaugural Olym... https://t.co/Zk3GBsjvX5,58,None,618105,783,0.0,0.0
Jake Adelstein/中本哲史,87795485,2021-04-26 19:53:12,"10,000 dead from COVID19

Today Japan  passed that number 

""Better than the US""--but a miserable failure in Asia wh... https://t.co/B1oAUan004",31,None,26174,3071,-0.25416666666666665,0.5499999999999999
Olympics,52422878,2021-04-26 16:00:01,"""I'll carry Chase on my shoulders.""

Faster than ever @USARugby 7s star  @Carlin_Isles reveals how he plans to ho... https://t.co/VgJA02Flpg",47,None,5997029,4979,0.0,0.0
Jean Todt,4852859639,2021-04-26 17:12:10,I am delighted that the @FIA is joining forces with the IOC for this highly prestigious and innovative sporting con... https://t.co/5ec4RlQVTW,17,None,102589,1500,0.4533333333333333,0.7466666666666666
Joel Kim Booster,36299068,2021-04-26 19:06:32,Can't be stressed enough: the Olympics would be a disaster for some of the most vulnerable communities in this city... https://t.co/mBFmE3GxsH,33,None,117417,1080,0.0,0.5
Melissa Jo Peltier,18184205,2021-04-26 18:59:31,"Ummm, @Olympics Committee....what century are you living in, messieurs et mesdames? https://t.co/6O2t0xUzT0",29,None,57822,11388,0.0,0.0
